                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86996,                 3.5281,                 4.1951,                 1.4299,                0.24561,                    0.7,                0.20896,                0.11185,                0.25731,                0.73333,                0.22025,                0.11885,                 1.2193,                 2.6084,                 70.157,                 2.0129,                0.00046,                0.00046,                0.00046
                      2,                  1.901,                 4.1136,                 5.0173,                 2.2122,                  0.007,                0.16667,                0.00359,                0.00077,                0.00078,                    0.1,                0.00045,                0.00016,                 3.1671,                 8.8352,                 18.956,                 3.7866,             0.00090898,             0.00090898,             0.00090898
                      3,                 2.3801,                 4.4882,                 9.7712,                 2.6735,                 0.0056,                0.41667,                0.00416,                0.00101,                0.00224,                0.16667,                0.00132,                0.00027,                 3.3554,                 6.5021,                    inf,                 6.4207,              0.0013263,              0.0013263,              0.0013263
                      4,                 2.6512,                 5.0385,                 15.234,                  2.923,                0.01324,                0.16667,                0.00682,                0.00122,                0.00926,                0.11667,                0.00432,                0.00081,                 3.5496,                  5.392,                 199.46,                 4.5405,              0.0017119,              0.0017119,              0.0017119
                      5,                 2.5994,                 4.7339,                  13.76,                 2.8112,                0.03153,                    0.1,                0.00694,                 0.0015,                0.03153,                    0.1,                0.00545,                0.00131,                 3.4258,                 5.0945,                 58.866,                 4.0235,               0.001736,               0.001736,               0.001736
                      6,                 2.4442,                 5.1533,                 12.758,                 2.7515,                0.03153,                    0.1,                0.00694,                 0.0015,                0.03153,                    0.1,                0.00545,                0.00131,                 5.6775,                 59.393,                    inf,                 15.199,               0.001736,               0.001736,               0.001736
                      7,                  2.962,                 4.7046,                  37.81,                 3.1432,                0.03153,                    0.1,                0.00694,                 0.0015,                0.03153,                    0.1,                0.00545,                0.00131,                 5.6775,                 59.393,                    inf,                 15.199,                0.00167,                0.00167,                0.00167
                      8,                 3.4877,                 6.4301,                 13.509,                 3.4858,                0.00016,                0.03333,                  7e-05,                  1e-05,                      0,                      0,                      0,                      0,                 5.1089,                 4974.7,                    inf,                 51.355,               0.001604,               0.001604,               0.001604
                      9,                  3.422,                 6.5714,                  3.459,                 3.5282,                0.00014,                0.03333,                  7e-05,                  2e-05,                      0,                      0,                      0,                      0,                 3.2687,                    nan,                    inf,                    536,               0.001538,               0.001538,               0.001538
                     10,                 3.0754,                 5.3164,                 3.2614,                 3.4045,                0.00021,                   0.05,                0.00011,                  6e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.001472,               0.001472,               0.001472
                     11,                 3.1688,                 5.1116,                 3.3256,                 3.4366,                0.00021,                   0.05,                0.00011,                  6e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                     12,                 3.0959,                  4.946,                 3.1266,                 3.3361,                0.00021,                   0.05,                0.00011,                  6e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                0.00134,                0.00134,                0.00134
                     13,                  3.223,                 4.9014,                  3.135,                 3.3835,                0.42071,                0.03333,                0.05317,                0.00936,                0.00097,                0.01667,                0.00061,                0.00011,                 3.0754,                 1590.2,                 4.0808,                  17.54,               0.001274,               0.001274,               0.001274
                     14,                 2.8263,                 4.8837,                 3.0126,                  3.239,                0.13851,                 0.1635,                0.04804,                0.00753,                0.07098,                0.06667,                0.00886,                0.00138,                    nan,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     15,                 3.0685,                 4.8537,                 3.1115,                 3.3418,                0.13851,                 0.1635,                0.04804,                0.00753,                0.07098,                0.06667,                0.00886,                0.00138,                    nan,                    nan,                    nan,                    nan,               0.001142,               0.001142,               0.001142
                     16,                 2.8638,                 4.7907,                 3.0434,                 3.2204,                0.00195,                0.28333,                0.00243,                 0.0006,                0.02258,                   0.05,                0.00491,                0.00088,                 4.3568,                 46.818,                 4.3118,                 6.7369,               0.001076,               0.001076,               0.001076
                     17,                 2.8564,                 4.6863,                 3.0713,                 3.2632,                  0.259,                0.03333,                 0.0287,                0.00489,                0.02262,                   0.05,                0.00597,                0.00101,                 3.9319,                 16.548,                 4.0955,                  5.581,                0.00101,                0.00101,                0.00101
                     18,                 3.0679,                 4.7674,                 2.9415,                 3.3051,                 0.1159,                0.01667,                0.02016,                 0.0037,                0.00378,                   0.15,                0.00422,                0.00065,                 4.2418,                 14.893,                 4.2473,                 5.1277,               0.000944,               0.000944,               0.000944
                     19,                 2.8116,                 4.4892,                 3.1353,                 3.2517,                 0.1159,                0.01667,                0.02016,                 0.0037,                0.00378,                   0.15,                0.00422,                0.00065,                 4.2418,                 14.893,                 4.2473,                 5.1277,               0.000878,               0.000878,               0.000878
                     20,                 2.8336,                 4.5619,                 3.0012,                 3.2297,                 0.2207,                0.16524,                0.09879,                0.03586,                0.24657,                0.11667,                0.07395,                0.01383,                 3.5846,                 27.574,                 3.4913,                 4.8363,               0.000812,               0.000812,               0.000812
                     21,                 2.8326,                 4.8384,                 3.2519,                 3.4719,                0.21984,                    0.1,                0.08539,                0.02288,                 0.1107,                   0.05,                0.03585,                0.01135,                 3.7144,                 74.552,                 3.4316,                 4.8709,               0.000746,               0.000746,               0.000746
                     22,                 2.7227,                 4.8193,                 3.1486,                 3.4161,                0.30095,                   0.05,                0.05046,                0.01875,                0.13082,                0.03333,                 0.0263,                0.00776,                 4.4504,                 183.58,                 3.8111,                 9.2194,                0.00068,                0.00068,                0.00068
                     23,                 2.9665,                 4.7121,                 2.8993,                 3.5116,                0.30095,                   0.05,                0.05046,                0.01875,                0.13082,                0.03333,                 0.0263,                0.00776,                 4.4504,                 183.58,                 3.8111,                 9.2194,               0.000614,               0.000614,               0.000614
                     24,                  2.878,                 4.8714,                 2.9405,                 3.3895,                0.32653,                0.03333,                0.03345,                0.00626,                0.32653,                0.03333,                0.03129,                0.00731,                 4.4109,                 41.657,                 3.3631,                 6.3202,               0.000548,               0.000548,               0.000548
                     25,                 2.8292,                 4.7492,                 2.8199,                 3.4386,                0.40966,                0.06667,                0.07177,                0.01746,                0.39945,                   0.05,                0.04999,                 0.0117,                 4.0949,                 46.308,                 3.2956,                 9.1594,               0.000482,               0.000482,               0.000482
                     26,                 2.9294,                 5.2277,                 2.9322,                 3.4122,                0.24127,                0.11667,                0.10674,                0.04177,                0.34521,                0.11667,                0.08264,                  0.022,                 3.6632,                  41.66,                 3.5621,                 13.544,               0.000416,               0.000416,               0.000416
                     27,                 2.9173,                 5.2388,                 2.8277,                 3.4696,                0.24127,                0.11667,                0.10674,                0.04177,                0.34521,                0.11667,                0.08264,                  0.022,                 3.6632,                  41.66,                 3.5621,                 13.544,                0.00035,                0.00035,                0.00035
                     28,                 3.0787,                 4.9192,                 2.8258,                 3.5296,                0.26994,                0.18333,                0.13392,                 0.0457,                0.15892,                    0.1,                0.05185,                0.01698,                 3.3816,                 26.059,                 3.3045,                 13.001,               0.000284,               0.000284,               0.000284
                     29,                 3.1833,                 5.0203,                 2.8841,                 3.5218,                0.19883,                0.14073,                0.10689,                0.03502,                0.18686,                0.11667,                0.08981,                0.02558,                  3.375,                  9.887,                 3.1427,                 9.7539,               0.000218,               0.000218,               0.000218
                     30,                 2.8547,                 5.0761,                 2.8412,                 3.4485,                0.24849,                    0.2,                0.16931,                0.05372,                0.08158,                0.08333,                 0.0513,                 0.0172,                 3.0963,                 5.4878,                 2.8158,                 4.1263,               0.000152,               0.000152,               0.000152
